data_center_id,project_stage,state_or_region,state_code,data_center_estimated_power_mw,data_center_selected_power_mw,sector,year
5c61f02a-02f5-4c6f-8258-edefc24a4cfb,Active,Arizona,AZ,17.59,36.0,all_sectors,2025
19aad581-88fe-4831-948b-ab7d161718cf,Announcement,Texas,TX,46.62,36.0,all_sectors,2025
e4ed0db7-42b8-45ca-9948-de08a93b0e4a,Active,Missouri,MO,54.29,20.0,all_sectors,2025
2302d5d5-c5e5-4e17-a65c-d8317d5d919e,Announcement,Arizona,AZ,87.08,60.0,all_sectors,2025
38a8e7fe-9b88-4de5-b579-a564650a5c04,Announcement,California,CA,31.17,31.17,all_sectors,2025
02e64a0a-25ce-4b62-80f0-a5836c5a06f3,Construction,Virginia,VA,41.84,100.0,all_sectors,2025
cbf75b38-2d96-41ef-ba44-a5d91d3f8374,Construction,Texas,TX,,125.0,all_sectors,2025
87f95852-d850-473b-b3c0-89ca13dd0da5,Construction,North Carolina,NC,39.46,60.0,all_sectors,2025
90c65543-e243-4f37-9b05-bc328c0a03d3,Construction,Texas,TX,40.63,66.0,all_sectors,2025
6780e7f0-9032-47a4-a8e9-f41d8cf2f190,Announcement,Pennsylvania,PA,46.69,75.0,all_sectors,2025
a5ad936d-4ca3-4cf3-be0e-ca724d5f1841,Delayed,California,CA,16.0,9.0,all_sectors,2025
f5f72e2b-01d4-4297-bce8-8f9aad8c7971,Construction,California,CA,16.07,9.0,all_sectors,2025
67f101fb-89e5-443e-86aa-f505da7bb53e,Announcement,Illinois,IL,67.12,54.0,all_sectors,2025
b81377ae-f277-4c2c-852e-0f5e6f72a942,Active,Arizona,AZ,31.19,32.0,all_sectors,2025
ab222abd-1c9c-43e1-a793-efbcbcd5cfc4,Active,Colorado,CO,24.0,24.0,all_sectors,2025
2ebe35b3-2ab6-4c05-a004-fb5b810eff96,Announcement,Illinois,IL,61.48,125.0,all_sectors,2025
0504c94d-f430-48f0-9854-88064a3d985c,Construction,Texas,TX,66.05,42.0,all_sectors,2025
856bf45e-5266-4c12-a706-bedd6011bbad,Construction,Arizona,AZ,33.44,45.0,all_sectors,2025
395ec717-8e8e-49f1-bd0c-236d2a10a462,Active,Arizona,AZ,63.75,63.75,all_sectors,2025
17a5f60d-6e9e-40bd-a6cd-32d4ecf3b1a0,Active,Arizona,AZ,68.0,68.0,all_sectors,2025
